Year,numberOfSighting,NumberOfCellPhones
2009,129,17.24
2010,117,29.67
2011,139,47.200001
2012,191,68.010002
2013,143,96.970001
2014,125,121.93
2015,87,131.39999
2016,67,144.27
2017,60,147.91
2018,50,152.2
2019,37,153.2
2020,57,139.74001
2021,32,151.03
